"","x"
"Daniel Webster",2
"Isaac Van Zandt",10
"A Friend of Treat in Mexico",1
"a Friend of Treat in New Orleans Vitalba",1
"A. de Saligny",13
"Abner S. Lipscomb",14
"Anson Jones",48
"Ashbel Smith",54
"Ebenezer Allen",18
"James S. Mayfield",21
"Sam Houston",15
"Secretary of State Mayfield",1
"A. Gloux",1
"Alleye de Cyprey",2
"A. Hutchinson",2
"A. J. Donelson",7
"Secretary of State Allen",2
"A. J. Yates",1
"Stephen F. Austin",3
"A. M. Green",4
"Joseph Eve",8
"A. P. Upshur",2
"A. S. Wright",6
"Barnard E. Bee",13
"John Merle",1
"Mirabeau B. Lamar",20
"Nathaniel Amory",9
"William Bryan",1
"Wm. Bryan",3
"A. Somervell",1
"M. C. Hamilton",2
"A. T. Biimley",1
"David G. Burnet",17
"A. T. Burnley",1
"Abel Smith",1
"Lord Aberdeen",6
"Abb6 Anduz6",2
"Alc6e La Branche",4
"Geo. H. Flood",4
"Hamilton and Burnley",3
"James Hamilton",30
"James Hamilton and A. T. Bumley",1
"James Treat",20
"R. Pakenham",14
"Address of Tilghman A. Howard",1
"Aflbbel Smith",1
"Al. Bourgeois",4
"Charles Elliot",12
"Charles H. Raymond",10
"G. W. Terrell",8
"George S. Mcintosh",1
"Isaac Van 2iandt",1
"J. Pinckney Henderson",20
"James K. Polk",1
"James Reily",2
"Van Zandt and Henderson",3
"Victor Pirson",1
"Viscount J. de Cramayel",3
"W. S. Murphy",2
"William Kennedy",5
"Wm. Henry Daingerfield",16
"Zachary Taylor",3
"Anson Joness reply",1
"Howard *s address 294",1
"Anto. Lopez de Santa Anna",3
"Antonio Canales",1
"Arthur Ikin",4
"Baron de Cetto",2
"Edward Everett",2
"General Sancho",1
"Geo. S. Mcintosh",10
"H. U. Addington",2
"Henry Castro",4
"Joseph Hume",2
"Lachlin M. Rate",3
"M. Guizot",8
"M. P. Russell",2
"Martinez de La Rosa",1
"Samuel Amory",2
"Stewart Newell",1
"Texan Consuls",1
"Theodore Barbey",2
"Washington Irving",1
"Wm. Pringle",2
"Balie Peyton",1
"M. S. CucuUu",1
"BaniaxdE. Bee",1
"James Webb",16
"Secretary of State Lipscomb",2
"Brenham and Cooke",1
"Secretary of State Roberts",3
"Certificate of Exchange of Ratification of Convention as",1
"Debt be-",1
"Charles de Castell",1
"Secretary of State Jones",3
"John C. Calhoun",4
"the Secretary of State of Texas Allen",1
"the Secretary of State of Texas Jones",2
"Chas. H. Raymond",1
"Correspondent at Vera Cruz",1
"Correspondent in Tampico",1
"T. Toby",1
"Count Mol6",2
"D. Parker",1
"D. Rowlett",1
"David G. Bumet",4
"DaAdd G. Burnet",1
"Richard G. Dunlap",4
"David S. Kaufman",4
"James Buchanan",5
"Declaration of Wyse as",1
"goods shipped on Santa Maria",1
"Duff Green",1
"E. A. Rhodes",4
"E. W. Moore",11
"Joaquin Rivas Sayas",2
"Muabeau B. Lamar",1
"PedrffLemus",1
"William D. Lee",4
"Eddy and Moss",1
"the collector of the customs at New Orleans",1
"Fran. Pizarro Martinez",2
"G . W. TerreU",1
"G. Loomis",1
"W. W. S. Bliss",1
"G. W. Hill",1
"Adrian Woll",1
"Lord Clarendon",1
"Gabriel Shaw",1
"Geo. Fisher",1
"Geo. L. Hammeken",2
"Geo. W. Hockley",1
"H. S. Fox",2
"James H. Starr",2
"Henry J. Jewett",2
"Holford &amp; Co. to Ashbel Smith",1
" undated 1159",1
"Ird Palmerston",1
"Ignacio de Mora",2
"Information given by Henry J. Jewett",1
"Instructions",1
"Peraza",1
"William S. Archer",1
"J. C. Spencer",1
"J. H. Brower",1
"J. M. Porter",1
"H. S. Legar",1
"Lizardi &lt;k Co.",1
"Lord Palmerston",5
"R. A. Irion",3
"Secretary of State",1
"Secretary of State Bee",1
"Secretary of State Burnet",1
"Secretary of State Irion",1
"J. R. Poinsett",1
"J. Y. Mason",1
"Jacob Barker",1
"Jacob Snively",2
"Geo. W. HUl",1
"Jamee HamUton",1
"Wm. Sevey",2
"Lords of the Treasury",1
"Monroe Edwards",1
"R. Copeland",1
"Samuel A. Roberts",13
"Senior Officer of British Navy",1
"Thos. Gales Forster",2
"James Ritchie",1
"Juan de Dios CaAedo",1
"Juan de Dios Cafiedo",1
"Juan Nepomuceno Almonte",1
"Mirabeau B. Imar",1
"Admiral Baudin",1
"Jas. Ogilvy",1
"Jesse Benton",1
"Joaquin G. Rej6n",2
"President of Texas",2
"Secretary of State Waples",1
"John Crawford",1
"John D. Morris",1
"John Emberson",1
"Albert Sidney Johnston",1
"John Hall",1
"John Taylor",1
"Joseph C. Eldredge",1
"Joseph Waples",6
"Joseph W. Robertson",1
"Juan de Dies Cafiedo",1
"Juan N. Leplicher",1
"Juan Vitalba",1
"Lewis Cass",1
"List of negro subjects of Great Britain alleged",1
"be held in slavery in Texas",1
"lx)rd Aberdeen",1
"M. E. Hale",1
"Ashbel Smithy undated i 1442",1
"M.S. CucuUu",1
"John C. Spencer",1
"Mariano Arista",3
"Van Ness and Morris",5
"Martin F. Peraza",2
"Memorandum communicated by Treat",1
"Mexican Government",1
"Memorandum concerning War Steamers",1
"be used against Texas",1
"Memorandum relative",1
"Saligny s investments in Texan bonds 1368",1
"Miguel Barbachano",1
"Governor of Yucatan",1
"Lord Russell",1
"Pedro Lemus",2
"Secretary of State Rej6n",1
"Percy W. Doyle",1
"Petition of Joseph Cooper",1
"the Texan minister",1
"Propositions of Texas",1
"Mexico",1
"Agent of Lloyds",1
"R. J. Walker",1
"Hiram G. Runnels",1
"R. Jones",3
"the Secretary of War of the United States",1
"W. Davenport and G. Loomis",1
"R. Sieveking",2
"Reply of the King of France",1
"Terrells address",2
"Reuben M. Potter",2
"A. B. Roman",1
"Cooke and others",1
"Rafael Uribe",2
"Wm. G. Cooke",1
"George K. Teulon",1
"Sebastian Canacho",1
"T. Dunlap",1
"T. Hartley Crawford",2
"Andrew J. Donelson",1
"Wm. Armstrong",1
"the King of France",1
"Carrasco",1
"W. L. Marcy",1
"William Armstrong",1
"T. H. Crawford",1
"William M. Williams",1
"William Scurlock",1
"Williams",1
" Thurston",1
"Baron Roenne",1
"Count d Alviella",1
"Senator Gildmeister",1
"V. Rumpff",1
"Wm. Wilkins",1
"General R. Jones",1
